,net_returns,gross_returns,turnover,eth_beta_rolling,pc1_beta_rolling
2024-05-30,0.0014441918067799034,0.0014441918067799034,0.0,,
2024-05-31,-0.007086423261570215,-0.0007819553495991091,1.2608935823942211,,
2024-06-01,-0.009014019465417729,-0.0018138208089883668,1.4400397312858724,,
2024-06-02,-0.008281664201089507,-0.0011891026345078955,1.4185123133163224,,
2024-06-03,0.001469571763690206,0.007330659952046633,1.1722176376712854,,
2024-06-04,-0.010724779916997574,-0.0019062407022614823,1.7637078429472184,,
2024-06-05,-0.009981139786584669,-0.003553055601158349,1.2856168370852639,,
2024-06-06,-0.003953971134532832,0.0015502808971393606,1.1008504063344384,,
2024-06-07,0.015682471866580876,0.021788692163265556,1.2212440593369358,,
2024-06-08,-0.009991316748015065,-0.0019724330220101186,1.6037767452009892,,
2024-06-09,-0.01433710380666121,-0.006442951756118871,1.578830410108468,,
2024-06-10,0.003918424359424228,0.00817712796074514,0.8517407202641826,,
2024-06-11,-0.0022311618756581816,0.0021709345344919184,0.8804192820300201,,
2024-06-12,0.012209084754539443,0.017496497446918034,1.0574825384757178,,
2024-06-13,-0.010155251251517028,-0.0022650306827505305,1.5780441137532994,,
2024-06-14,-0.01867918151204119,-0.012556328983504459,1.2245705057073462,,
2024-06-15,-0.012507651254240864,-0.0065213838930433116,1.1972534722395105,,
2024-06-16,-0.011441415965631935,-0.006082139069513114,1.0718553792237642,,
2024-06-17,-0.016253436236716545,-0.010945341798105844,1.0616188877221404,,
2024-06-18,0.005308938368644096,0.010986909004805031,1.135594127232187,,
2024-06-19,-0.00457114750918213,0.001563201351379355,1.226869772112297,,
2024-06-20,0.001090232378146149,0.006142741957478712,1.0105019158665127,,
2024-06-21,0.0018185556053769503,0.00632049386003794,0.900387650932198,,
2024-06-22,-0.010198216998812099,-0.004517947004490292,1.1360539988643614,,
2024-06-23,-0.0007805627588521038,0.007293758804105784,1.6148643125915774,,
2024-06-24,-0.01668113492109297,-0.009067160106767076,1.522794962865179,,
2024-06-25,0.0041015901079678166,0.010904161500389281,1.3605142784842927,,
2024-06-26,-0.005239962725716934,0.0009045134117224098,1.2288952274878688,,
2024-06-27,-0.002681204164026231,-0.001931204164026231,0.15000000000000002,,
2024-06-28,0.005254341465496063,0.0060043414654960625,0.14999999999999997,,
2024-06-29,-0.004482683868120812,-0.003732683868120812,0.15,,
2024-06-30,-0.0016746384848865534,-0.0009246384848865534,0.15,,
2024-07-01,-0.005376917928545494,-0.004626917928545494,0.15000000000000002,,
2024-07-02,0.00042658808448391725,0.0011765880844839174,0.15000000000000002,,
2024-07-03,0.0024237307608682935,0.0031737307608682938,0.15,,
2024-07-04,-0.00704731947902841,-0.00629731947902841,0.15,,
2024-07-05,0.0016366777381364107,0.0023866777381364107,0.15,,
2024-07-06,0.007385285090605434,0.008135285090605434,0.14999999999999997,,
2024-07-07,-0.002587333995476314,-0.001837333995476314,0.15,,
2024-07-08,0.0034400495887224897,0.0041900495887224895,0.15,,
2024-07-09,-0.0012692226306647502,-0.0005192226306647501,0.15000000000000002,,
2024-07-10,-0.0037819567324761773,-0.003031956732476177,0.15,,
2024-07-11,-0.0029850856023653912,-0.0022350856023653914,0.14999999999999997,,
2024-07-12,0.000698742435633592,0.0014487424356335922,0.15000000000000002,,
2024-07-13,-0.0015871040481291836,-0.0008371040481291837,0.14999999999999997,,
2024-07-14,0.005344887108724329,0.006094887108724328,0.15,,
2024-07-15,0.007081150034807267,0.007831150034807267,0.14999999999999997,,
2024-07-16,9.080436661575381e-05,0.0008408043666157536,0.14999999999999997,,
2024-07-17,0.0006911183456993096,0.0014411183456993094,0.14999999999999997,,
2024-07-18,-0.0026553739278769913,-0.001905373927876991,0.15,,
2024-07-19,0.0035289404361027055,0.004278940436102705,0.14999999999999997,,
2024-07-20,-0.00507901877526528,-0.00432901877526528,0.15000000000000002,,
2024-07-21,0.004028998393131448,0.004778998393131448,0.15,,
2024-07-22,-0.001406903737936139,-0.000656903737936139,0.15000000000000002,,
2024-07-23,-0.002255561982412181,-0.0015055619824121808,0.15000000000000002,,
2024-07-24,-0.001222367010264227,-0.000472367010264227,0.15,,
2024-07-25,0.0026992835077405946,0.003449283507740595,0.15000000000000002,,
2024-07-26,-0.003209381726521289,-0.0024593817265212894,0.14999999999999997,,
2024-07-27,-0.002795765375708299,-0.002045765375708299,0.15000000000000002,,
2024-07-28,-0.0029103111267157248,-0.002160311126715725,0.14999999999999997,0.016924218139003373,0.00023642970030659046
2024-07-29,0.0009161774310659412,0.0016661774310659412,0.15,0.018622217401391958,0.00022880410738853596
2024-07-30,-0.001678518871725609,-0.0009285188717256092,0.14999999999999997,0.019115836542358773,0.00022430533237601785
2024-07-31,0.0010374653292708294,0.0017874653292708294,0.15000000000000002,0.021212164138893274,0.0002121395674228651
2024-08-01,0.0009690244413355022,0.001719024441335502,0.14999999999999997,0.019654370546069444,0.00021069241787921794
2024-08-02,0.0005948053271286498,0.0013448053271286498,0.15,0.013196594199229209,0.0002119403578841759
2024-08-03,0.004096031915521071,0.004846031915521071,0.15,0.013124546670942022,0.0002052799496103389
2024-08-04,-0.0003651672760446393,0.0003848327239553608,0.15000000000000002,0.012995888437830838,0.00021516964939890872
2024-08-05,0.0035612706432827206,0.00431127064328272,0.14999999999999997,0.0011917381460408193,0.0002316811671451797
2024-08-06,-0.004146786252172704,-0.0033967862521727043,0.15000000000000002,0.009087509651768225,0.0002719037908257867
2024-08-07,-0.002938868183962681,-0.002188868183962681,0.15,0.01082017681260747,0.0002332291916820253
2024-08-08,0.009765683641645376,0.010515683641645377,0.15,0.031209689955197035,0.00019408391211300457
2024-08-09,-0.0044084705151615205,-0.0036584705151615207,0.14999999999999997,0.03230485990791625,0.00018925066386482538
2024-08-10,0.0008401683319854687,0.0015901683319854685,0.14999999999999997,0.03284000444022448,0.000191911394505899
2024-08-11,0.0003718791756373457,0.0011218791756373457,0.15,0.028464193162312412,0.00014812442429206998
2024-08-12,0.004906870794513896,0.005656870794513896,0.15000000000000002,0.030164437238216716,0.00010704569565545646
2024-08-13,-0.0017631080243891467,-0.0010131080243891467,0.15,0.03178325489139463,4.2623342060669525e-05
2024-08-14,-0.0011525024224477642,-0.0004025024224477641,0.15000000000000002,0.036244492296354035,1.9517893529267117e-05
2024-08-15,-0.005341710541973158,-0.004591710541973158,0.15,0.04044455160468549,-4.563002949914939e-06
2024-08-16,0.0019424510810186954,0.0026924510810186954,0.15,0.0361857293955153,-0.00014444031057536392
2024-08-17,0.0022259172978992903,0.00297591729789929,0.14999999999999997,0.036775645608841195,-0.00010747495414596891
2024-08-18,0.0008773660252043602,0.0016273660252043602,0.15,0.03853169238801935,-0.00010782754481549747
2024-08-19,0.002444840044101149,0.003194840044101149,0.15,0.03914455809168306,-0.00010778350940386259
