,0
2024-05-30,0.009166081044392906
2024-05-31,-0.006046036595433544
2024-06-01,-0.0020967730286419696
2024-06-02,-0.008544842526759735
2024-06-03,-0.014128890723918937
2024-06-04,-0.004335211403113375
2024-06-05,-0.01707224774174508
2024-06-06,0.00047692739896717205
2024-06-07,0.007716924227842638
2024-06-08,-0.011953577296998176
2024-06-09,-0.006860682501785429
2024-06-10,-0.003314033835767727
2024-06-11,-0.008324343746027425
2024-06-12,0.008444488913335779
2024-06-13,-0.008950111427026518
2024-06-14,-0.010883103172649792
2024-06-15,-0.011040372579978848
2024-06-16,-0.014580117908295304
2024-06-17,-0.008444106747141272
2024-06-18,0.003936594663225286
2024-06-19,-0.00596160628952964
2024-06-20,-0.004451636397263789
2024-06-21,-0.008483151057441757
2024-06-22,-0.0019097656806381798
2024-06-23,-0.0011411389213997446
2024-06-24,-0.022277305909411977
2024-06-25,-0.0019536796231280373
2024-06-26,-0.004509168839022482
2024-06-27,-0.0011575091792975455
2024-06-28,0.008002849655868314
2024-06-29,-0.004895544681310447
2024-06-30,-0.003068544238724662
2024-07-01,-0.0026638332989620352
2024-07-02,-0.0017940839889334288
2024-07-03,0.004510687977147884
2024-07-04,0.003915813796940275
2024-07-05,0.001355121060039172
2024-07-06,-0.0008028732509577515
2024-07-07,-0.0005660281737047602
2024-07-08,0.0015008962968067145
2024-07-09,-0.002688458618165549
2024-07-10,-0.0019508815662118571
2024-07-11,-0.004286638295015216
2024-07-12,-0.0003020244856923517
2024-07-13,-0.0010936814150746153
2024-07-14,0.0035789015141272688
2024-07-15,0.0014624742788662797
2024-07-16,-0.0006302326538830609
2024-07-17,-0.0009313891864362943
2024-07-18,-0.0016780825767273512
2024-07-19,-0.0015935976879309977
2024-07-20,0.0002492223683617321
2024-07-21,0.001495977952528836
2024-07-22,0.0007638010316755178
2024-07-23,-0.00037138337972679084
2024-07-24,0.0026210142660561923
2024-07-25,0.0012796374897812153
2024-07-26,-0.00367852485082171
2024-07-27,6.722550573813341e-05
2024-07-28,2.5885726854962734e-05
2024-07-29,0.0016894809772164446
2024-07-30,-0.0024033633519472118
2024-07-31,0.0011911543136725576
2024-08-01,-0.0002379109869438407
2024-08-02,-0.0028919959651181816
2024-08-03,0.0005301575551809706
2024-08-04,0.0005389108156114101
2024-08-05,0.0004917214311955644
2024-08-06,-0.0035401575828572004
2024-08-07,-0.0021488802487264515
2024-08-08,0.011802767356985162
2024-08-09,-0.0017254504398507083
2024-08-10,0.0013887949267818954
2024-08-11,-0.00011174581057715846
2024-08-12,0.002696580003858173
2024-08-13,-0.0007433013919859918
2024-08-14,7.035908927321228e-05
2024-08-15,-0.001411805368053104
2024-08-16,0.0003630502959956288
2024-08-17,-0.00045726378134617105
2024-08-18,0.0011827220195431266
2024-08-19,0.0006862728643487213
2024-08-20,-0.002943948010448177
2024-08-21,-8.618793781493036e-05
2024-08-22,-0.002689375193147905
2024-08-23,-0.003223293609579439
2024-08-24,-0.0020328825832771403
2024-08-25,-0.0010922160818473271
2024-08-26,0.0021564825628043447
2024-08-27,0.0034455237808203956
2024-08-28,0.003848378429081375
2024-08-29,-0.0008602203706910527
2024-08-30,0.0019409458079714234
2024-08-31,-0.0024605109639985355
2024-09-01,-0.0029539066871542563
2024-09-02,0.0037556649876201594
2024-09-03,-0.00033778092410558576
2024-09-04,-0.0009306547303958161
2024-09-05,-0.001125182007426935
2024-09-06,-0.0004977282288070367
2024-09-07,-0.001104108055316536
