,0
2024-05-30,0.009166081044392906
2024-05-31,0.0004082903276433796
2024-06-01,0.003600342355973416
2024-06-02,-0.0028477271421443497
2024-06-03,-0.00936927533930355
2024-06-04,0.004102288596886625
2024-06-05,-0.009968882357129694
2024-06-06,0.004948081245121019
2024-06-07,0.013810674227842639
2024-06-08,-0.002056024141108998
2024-06-09,0.00253662293009624
2024-06-10,0.0016723693235825806
2024-06-11,-0.0021684364494680645
2024-06-12,0.013314794365715948
2024-06-13,0.0004779769106133743
2024-06-14,-0.003712303016394475
2024-06-15,-0.006631972357798102
2024-06-16,-0.00956253863227725
2024-06-17,-0.0026228560745996665
2024-06-18,0.01038432592239382
2024-06-19,0.0002798776039378212
2024-06-20,0.0002202662629482738
2024-06-21,-0.00236693497427045
2024-06-22,0.00318557074286217
2024-06-23,0.0077810836433076305
2024-06-24,-0.015544341393024434
2024-06-25,0.0036639136058070677
2024-06-26,0.0014757224352426439
2024-06-27,-0.00040750917929754563
2024-06-28,0.008752849655868315
2024-06-29,-0.0041455446813104474
2024-06-30,-0.0023185442387246616
2024-07-01,-0.001913833298962035
2024-07-02,-0.001044083988933429
2024-07-03,0.0052606879771478834
2024-07-04,0.0046658137969402755
2024-07-05,0.002105121060039172
2024-07-06,-5.2873250957751515e-05
2024-07-07,0.00018397182629523956
2024-07-08,0.0022508962968067147
2024-07-09,-0.0019384586181655488
2024-07-10,-0.0012008815662118571
2024-07-11,-0.003536638295015216
2024-07-12,0.0004479755143076483
2024-07-13,-0.0003436814150746155
2024-07-14,0.004328901514127269
2024-07-15,0.0022124742788662798
2024-07-16,0.00011976734611693892
2024-07-17,-0.00018138918643629425
2024-07-18,-0.0009280825767273512
2024-07-19,-0.0008435976879309976
2024-07-20,0.0009992223683617319
2024-07-21,0.002245977952528836
2024-07-22,0.0015138010316755178
2024-07-23,0.00037861662027320896
2024-07-24,0.0033710142660561926
2024-07-25,0.002029637489781215
2024-07-26,-0.00292852485082171
2024-07-27,0.0008172255057381334
2024-07-28,0.0007758857268549627
2024-07-29,0.002439480977216445
2024-07-30,-0.0016533633519472115
2024-07-31,0.0019411543136725576
2024-08-01,0.0005120890130561594
2024-08-02,-0.002141995965118182
2024-08-03,0.0012801575551809707
2024-08-04,0.0012889108156114099
2024-08-05,0.0012417214311955642
2024-08-06,-0.0027901575828572
2024-08-07,-0.001398880248726452
2024-08-08,0.012552767356985163
2024-08-09,-0.000975450439850708
2024-08-10,0.0021387949267818954
2024-08-11,0.0006382541894228413
2024-08-12,0.003446580003858173
2024-08-13,6.698608014008284e-06
2024-08-14,0.0008203590892732124
2024-08-15,-0.0006618053680531041
2024-08-16,0.0011130502959956286
2024-08-17,0.00029273621865382875
2024-08-18,0.0019327220195431264
2024-08-19,0.0014362728643487214
2024-08-20,-0.0021939480104481773
2024-08-21,0.0006638120621850698
2024-08-22,-0.001939375193147905
2024-08-23,-0.0024732936095794387
2024-08-24,-0.0012828825832771403
2024-08-25,-0.00034221608184732693
2024-08-26,0.002906482562804345
2024-08-27,0.004195523780820396
2024-08-28,0.004598378429081375
2024-08-29,-0.00011022037069105267
2024-08-30,0.0026909458079714234
2024-08-31,-0.0017105109639985357
2024-09-01,-0.002203906687154256
2024-09-02,0.00450566498762016
2024-09-03,0.00041221907589441425
2024-09-04,-0.000180654730395816
2024-09-05,-0.0003751820074269348
2024-09-06,0.0002522717711929635
2024-09-07,-0.0003541080553165359
2024-09-08,-0.0017332653546688855
2024-09-09,0.0048397103409875495
2024-09-10,0.0013120292587593166
2024-09-11,-1.2103235172560615e-05
2024-09-12,-0.0012414981727901686
2024-09-13,0.0008045201616381223
2024-09-14,-0.00016979464762077335
2024-09-15,0.0027046013510234374
2024-09-16,0.0008230735371266536
2024-09-17,-0.002656586754299902
2024-09-18,0.004585551246337941
2024-09-19,0.0034609941240872793
2024-09-20,-0.009129462247940954
2024-09-21,-0.0070843862495424586
2024-09-22,0.008932674807507108
2024-09-23,0.0020222961028703128
2024-09-24,-0.007651031194787105
2024-09-25,-0.000431586565000179
2024-09-26,0.0023407628631231764
2024-09-27,0.0028284346147682596
2024-09-28,0.0015239370150314357
