Metric,Value
Sharpe Ratio,-2.16
CAGR (%),-21.46
Ann. Return (%),-24.16
Ann. Volatility (%),11.18
Max Drawdown (%),-27.65
Avg Turnover (%),23.16
Total Return (log %),-24.10
Trading Days,364
