symbol,circulating_supply,price_usd,market_cap_usd
ONG,415363399.4414432,0.1981764053087119,82315225.39811184
USDP,73223449.28477143,0.9994788740588968,73185290.64585207
AERGO,479999995.7689212,0.14506773329304748,69632511.36686978
LPT,40995699.11997946,5.608598077114218,229928399.25426984
ANKR,10000000000,0.017952786041706904,179527860.41706905
BORA,1099750000,0.09272238632507478,101971444.36100098
CELR,7783424106.9912,0.009633462843300815,74981326.92835155
TFUEL,6954150474,0.03721293887459466,258784376.51369548
ORBS,3989676436,0.02049355563963767,81762656.02531731
ONE,14588298062.762903,0.014377829288942455,209748059.16261494
CHR,842831914.378197,0.0985006116053039,83019459.04672153
COTI,2118444827.8826768,0.07028205705283878,148888660.25654152
AWE,1942419283.027067,0.06160236174311714,119657615.32983962
MX,96516834,2.7059595728848307,261170650.9068361
PROM,18250000,5.354100187084544,97712328.41429293
SXP,644662648.245657,0.19386963127727538,124980509.9136174
BAND,161513472.099574,0.741325832185431,119734109.1133751
ZANO,13431787,10.018320976622165,134563953.4556209
TRB,2665726,50.76018141267645,135312735.35648835
CKB,46593343779.11927,0.0050415844937333415,234904279.50799456
LCX,942439527,0.14600201505052923,137598070.00526765
KSM,16559956.39639433,18.54793795827845,307153043.8321184
CTC,454416053,0.6799907220222751,308998699.9779824
MLK,463885159,0.16749751693125248,77699612.27375925
PCI,1050772044.06,0.06965779909804985,73194467.94297867
SOLO,398796764.0825947,0.2620892810089012,104520357.16708365
XPR,27652679036.2531,0.003920431136052947,108410423.88900526
HIVE,500749242.945,0.26125565796619643,130823572.94167072
CTSI,875397400.6054837,0.07433417287778059,65071941.71336777
KEEP,967787054.2862843,0.1098093773569881,106272093.84533052
CELO,570648764,0.3750217907242112,214005721.34983778
SCRT,308908072.559602,0.20509821511054252,63356494.31521233
UMA,87142810.41367821,1.2324746196040202,107401302.1158233
KDA,317497386.95314,0.5333680922316218,169342975.5677213
SKL,5883602671,0.024341131036381115,143213543.58081293
BAL,63549511.86688973,1.1767806631769506,74783836.71928999
XOR,393631668483258200000,2.66419185816e-13,104871028.62870327
SLP,41110168935,0.0016566227629654226,68104041.64707498
YFI,33813.28710244,5628.22073647786,190308643.63843217
CSPR,13111638041,0.015591086498498401,204424682.83423313
DKA,4686666667,0.01688537124307834,79136106.5648556
CFG,546540442,0.2220619567121693,121365839.97285387
SUSHI,269422881.7402243,0.7615704038453861,205184492.85209033
GLMR,980404603,0.09300563137936921,91183149.1092548
PHA,796782081.5676285,0.1401859413769743,111697646.17686312
FRAX,314941093.02529263,0.9993165769182392,314725855.01292413
FRAX,90727921.82559872,3.1868115926229934,289132793.0484107
ACH,9075718399.519175,0.023618570110232058,214355491.3197667
VELO,7390475595,0.012426952751047144,91841091.02683203
USTC,5594728636.09983,0.012954972415727913,72479555.15415634
KOGE,3388228.43,63.44908872531879,214980006.2767176
XVS,16605881.92884216,6.699953664420313,111258639.48007709
LQTY,94973707.53188409,0.8634389152579508,82003995.00935587
AUDIO,1327573651,0.0755876489219752,100348171.04985283
POND,8191540287,0.010728813287307687,87885506.27468182
WOO,1913169824.037396,0.09156208692246227,175173821.7259439
WEMIX,421604656.6177949,0.3397747786905799,143250628.8972292
ROSE,7384923570,0.03381037416945604,249687029.11453506
API3,86421978,0.8088677222342897,69903948.49584189
vBUSD,2694770470,0.02228977669986701,60065832.03369567
FIDA,990911592.514774,0.08403744445830255,83273677.91904844
VANRY,1935871661.1807923,0.04171680850824562,80758387.38601846
LON,120676551.21980241,0.7448578136700702,89886872.10282627
SFP,500000000,0.5559812034458953,277990601.72294766
CHEX,998776596.2140989,0.23517994909811094,234892229.0580163
MASK,100000000,2.3345829026565497,233458290.26565498
AUCTION,6090142.29001446,11.733466252965663,71458479.03564368
MINA,1234121136.8400393,0.2476047108190458,305574207.20295
ILV,5840097.72431473,14.475497842008716,84538322.00543788
PUNDIX,258386541.0999244,0.3890359793600519,100521661.07026538
XCH,13957509,12.798379778348774,178633500.94172102
ZIG,1408940795.2396517,0.10893352857412947,153480892.3774953
MOVR,9714270,7.391179845644581,71799916.63914979
ELON,549652770159583.3,1.438378786698172e-07,79060888.46474306
KNC,187009662.5499094,0.3607764634054051,67468684.67739455
BICO,954506005.7156266,0.1185666022961538,113172533.96897501
METIS,6377034.342,20.707924265510762,132055144.19269726
WILD,398396955.51942706,0.24388123961793534,97161543.37208933
CVX,96439497.43091787,3.3364724876397056,321767729.90005755
GOMINING,407743071.9910265,0.4363671865349933,177925697.15385947
BabyDoge,165250473992209500,1.671431680672767e-09,276204877.4767701
YGG,523954791.9606101,0.21867332700338674,114574937.55739395
IAG,376020434,0.18480758477447298,69491428.23338912
ORCA,59957271.85814,2.900668978434271,173916198.5104568
SPELL,162019199371.3317,0.0005914612417257729,95828076.8435834
JOE,398139433,0.19089361614818645,76002276.0965586
AGLD,77310001,0.8952861357430044,69214572.0495778
BTRST,241347782,0.26130476181234324,63065324.68944734
ACT,1258035045,0.06904963122376793,86866855.92382629
GMX,10157489.18016634,16.33769417128661,165949951.77371043
BONE,229923350.6228802,0.30449224160561,70009876.42863342
XRD,10752460667.02479,0.008059798010745113,86662661.09470147
SOLV,1482600000,0.04354128756705646,64554312.946917914
OSMO,728200484.060037,0.23111826354820894,168300431.39092097
CPOOL,775595883.2031598,0.14850184295156785,115177418.0413182
ASTR,7665418905,0.029178118725507636,223662502.89084074
SQD,605717237.4980118,0.24191610901918947,146532757.2613713
SSV,12478969.42256081,9.528243079074747,118902654.03450042
MANTA,415479188.22514164,0.3114438254892725,129398427.79201563
WMTX,702774077,0.1690878112125411,118830530.45684382
GFI,80644053.15088148,0.8929457192718547,72010762.04581155
EUL,18385045.06742466,9.422656185897639,173235958.63257584
VVS,48414397646848.82,2.377351495987422e-06,115098040.67306598
PEAQ,875774568.9501567,0.11668209814108174,102187214.20370574
PEOPLE,5060137334.7,0.024341619519744735,123171937.71892262
KUJI,122349806.5,0.4947105922177769,60527745.23134541
RLB,2086123475.5712204,0.06452088161849479,134598525.80889362
HEART,7800000000,0.010512209500440938,81995234.10343932
KUB,68974776,1.6375631605674676,112950552.18599312
ORBR,1015586750,0.0935092958028882,94966801.81924388
T,10128333798.695452,0.017183327989503984,174038481.65016276
GMT,2877122213.1838236,0.05802212628443952,166936748.38911793
AITECH,1552066393,0.05410185842924298,83969676.2668718
OMI,275000712307.75726,0.00022488269011219827,61842899.96653917
H2O,825000000,0.207926907588,171539698.7601
COW,420152537.80904406,0.4801716416818216,201745333.8365523
DHN,17075042,3.9343786229754762,67179680.23120843
LUNA,709984438.91686,0.1936003882871742,137453263.0521556
POLYX,960843686.164057,0.15850633846694162,152299814.53294384
TAI,892189753.9,0.12965245793355787,115674594.5362711
EURC,188053013.3808246,1.125975802304319,211743142.6172188
GEOD,317164483.62,0.19500147440161394,61847541.933726534
ZETA,828916667,0.2521726714940851,209030130.36336294
ETHW,107818999.04993,1.718613287490276,185299164.41111115
lisUSD,63166835.61721249,0.9965255956156172,62947368.48659646
RED,280000000,0.42464402631433434,118900327.36801362
ID,1015167312.4004356,0.20149987523852175,204556086.7949132
DLC,890000000,0.14418388450284136,128323657.20752881
MPLX,755813146,0.16609282613268248,125535141.44737375
VENOM,988919270,0.10857273014332962,107369665.03524852
MYTH,852643723.17,0.1570005479152753,133865531.7142103
ACX,439180437.636464,0.22483606027942693,98743599.34997712
AL,709686856.4500962,0.10777602019189311,76487224.97068672
HONEY,4385041770.811954,0.026888140652266277,117905619.8996546
CHEEL,56821200.01389998,5.1178231918067905,290800855.21742964
BLUR,2355097482.020548,0.10179114757147677,239728075.33756694
0x0,868563455,0.07201081132539554,62545959.08213868
GHO,249086809.9091107,0.9986984258154402,248762604.94761863
PRIME,35773841,3.2412502258234923,115951970.2198237
CGPT,823223724,0.13621598600093587,112136231.26402229
STIK,120265292.9886058,0.9386059912287518,112881724.53598659
AGI,1358935785.395599,0.06574653645655815,89345321.15663321
FUEL,4958725823.063153,0.012573788745032989,62349970.94373592
ZK,3675000000,0.06324529157777109,232426446.54830876
LGCT,106139448.5,1.9533787685596464,207330545.20653
EDU,410715985,0.14915949048425717,61262187.05633981
CYBER,43976450,1.459867655197258,64199796.945399456
ORDI,21000000,10.82424447058571,227309133.8822999
CETUS,725221635.9869498,0.1584733951762757,114928334.91014506
BITCOIN,999798155,0.07635873230832436,76343319.68000159
SNEK,74497662618,0.0030727118837112987,228909853.2350436
NTRN,592002585.726547,0.12518103001717776,74107493.45408173
ZRO,110000000,2.7140418141756912,298544599.55932605
SCR,190000000,0.3444027421059214,65436521.00012507
PAAL,972217335.4056938,0.14005066094407784,136159680.4048576
OSAK,750869738630302,1.0092750454495918e-07,75783408.95828211
ARKM,225100000,0.6693669550063108,150674501.57192057
TOSHI,408069300000,0.0006781842729588521,276746181.5373277
NPC,7422517810.566984,0.01596993816947683,118537150.49659528
BANANA,3981712.90788956,25.02934322250108,99659658.98503062
SATS,2100000000000000,5.605670649383691e-08,117719083.63705751
BIGTIME,1901317664.7302063,0.07194845914356712,136796876.3197837
MEME,45871792615.5075,0.0022874496971415793,104929418.12568396
BLAST,29155531004.946728,0.003180258491276184,92722125.04614788
AIAT,146389462.2952275,0.45148383662437847,66092476.0784291
NOT,102456957533.56,0.0027755324158660307,284372606.8654051
DYM,297689907,0.35010770477042086,104223530.07309005
XAI,1467087162.6949325,0.08332788823041207,122249275.1173157
ALT,3514349410.850709,0.03183094637815362,111865067.65088467
SAROS,1166156202,0.19248526412958733,224467884.5583264
PONKE,555544226,0.15994613357422938,88857150.97818787
QUBIC,119722471854016,1.4826266228746723e-06,177503724.12712774
PIXEL,2917857401.66,0.05537893804619278,161587844.2741542
NMD,10247500,8.607956995170621,88210039.30801094
USDB,81421425.56425929,1.0031653602126667,81679153.705199
AEVO,904069679.578782,0.11411713321195957,103169840.05738546
ZRC,1491598748,0.04222144576765752,62977455.64578785
IO,159708255.82,0.981616397928957,156772242.79754478
BOME,68929776651.53958,0.002296953211570063,158328471.852561
ANDY,1000000000000,6.439145956808162e-05,64391459.56808162
DSYNC,974947710.1310906,0.1671775021165326,162989322.87394902
SHFL,294160073.11096495,0.23880008176267672,70245449.51021339
APU,337892157626.5295,0.00021291273586276208,71941543.70683604
GIGA,9302411888,0.02197479741886754,204418616.7456651
DEGEN,14179608879,0.005447055257560583,77237113.09450968
STRAX,1968934313.0882108,0.05157088525160451,101539685.52821887
OMNI,34468488.35655884,2.7311486307623434,94138564.77946344
HASHAI,84564818695,0.0007722774625287199,65307503.600975856
SAGA,246297318,0.36906315583197447,90899265.45403136
ALE,342222222.2222222,0.5709251391152577,195383269.83055484
MERL,725000000,0.1461974325718688,105993138.61460488
BB,524568493.15068495,0.14785143204665538,77558202.9188849
ZENT,6577529471.722713,0.009740161100506302,64066196.697907336
KMNO,1560958923,0.06384813621845639,99664317.94711898
DEUSD,184103957.78044567,0.9996558098855352,184040591.01814377
SKI,989397047,0.07366043986012996,72879421.67833367
GAME,17542570036,0.0035331128067357096,61979878.85724972
DRIFT,301879452.652163,0.7126769680752012,215142533.0403448
TAIKO,117166930.27316965,0.7151250836953523,83789010.81792796
MOCA,2676888888.2,0.08934312726836574,239161624.62172666
COOKIE,514214421,0.24965909915557047,128378309.11966325
GCB,1201844746.3741875,0.06039653278142138,72587255.62256768
SOPH,2000000000,0.06344349567262536,126886991.34525073
G,9380640000,0.014722523437058797,138106692.25461122
ALEO,399583434.816287,0.2059468425545158,82292946.73750249
HMSTR,64375000000,0.002167632836706302,139541363.86296818
ME,150035444.363772,0.9445023392501746,141708828.17202207
BABY,2390359696.98,0.0790818300567382,189034019.33104858
UXLINK,408956731,0.4370673637942846,178741640.3240984
AVAIL,2059795731,0.03637791467070847,74931073.34140758
USDL,137726343.66751173,0.9997356037834396,137689929.34332535
NEIRO,1000000000,0.08496301745484604,84963017.45484604
NEIRO,420684183562.60986,0.000537595076365943,226157745.7882856
DOGS,516750000000,0.0001880258107619422,97162337.71123363
SUNDOG,997420606,0.06750427353137108,67330153.4132499
CAT,7296248160751.729,8.691847176830241e-06,63417873.97748275
AUSD,128905817,0.999306543743613,128816426.45471668
AIC,749999700,0.12466779952504153,93500812.2434413
MOODENG,989971791.17,0.24603507441613368,243567783.3103841
X,690000000000,8.709294694555264e-05,60094133.39243132
SOS,999999999,0.18711414007746419,187114139.89035004
INIT,148750000,0.9031579250667717,134344741.35368228
WCT,186200000,1.0469534713859843,194942736.37207028
CHEEMS,187495034775398,1.6116305420373505e-06,302172724.5243866
FWOG,975635328,0.07077638940066529,69051945.88757381
CARV,276168722.44,0.37241208140507165,102848568.74285991
GOAT,999992926.77649,0.15216366086873195,152162584.58114854
USDG,285903880.617961,0.9994687833405113,285752003.7135643
WONUS,95870006.729926,0.712,68259444.7917073
BAN,999961859,0.0657211990291225,65718692.35687033
USUAL,939165240.0091285,0.1300411696715793,122130146.32567658
AIXBT,933656820.3841392,0.234725703582178,219153254.06896627
BANANAS31,10000000000,0.006456483498183628,64564834.98183628
CHILLGUY,999953313.381767,0.08141684822918623,81413047.15187521
SUPRA,13875331954.854874,0.0044499081635979865,61743952.93854071
FAI,8189700000,0.020773358036894275,170127570.31475303
RLUSD,309043793.84,1.0000419987089082,309056773.28033733
REKT,255779582700004.97,2.839874467157815e-07,72638190.61300248
VANA,30084000,6.714675934596406,202004310.8163983
USDTb,70433629,0.9999137219326167,70427552.12261109
GRIFFAIN,999881120,0.08505986548989031,85049753.57308087
BIO,2159689402.54,0.08173121907958099,176514047.7028461
ALCH,850000000,0.13110275785742873,111437344.17881441
ANON,13409564.054133,5.45755193401226,73183392.23789483
ANIME,5538604656,0.027557557667448426,152630417.20491835
MELANIA,549998335.747548,0.3513846909666816,193260995.23884135
PLUME,2000000000,0.1564621939286035,312924387.857207
LAYER,210000000,0.9011838755284776,189248613.8609803
USDF,137736991.4230143,0.9981040970695922,137475855.45734987
LAUNCHCOIN,999874290,0.17479830066736685,174776326.77298996
VVV,30400381.09911114,3.3970325805179664,103271085.05384313
SIGN,1200000000,0.08036063140598566,96432757.6871828
BDCA,74819131.88347107,0.8532142775275892,63836751.55519718
B3,21292670212,0.003943632573519178,83970467.82524471
GOHOME,499895,241.28129050417147,120615310.71658279
NIL,195150000,0.5160281000384567,100702883.72250482
SHELL,284499999.99999,0.21799767396208702,62020338.24221157
SIREN,731750896.3305106,0.15410884978312755,112769288.9612676
PUNDIAI,7057612,11.529086611901217,81367820.02119337
FRXUSD,76678089.4608051,0.9996714825263586,76652899.36857179
NXPC,173294248,1.8143270657550543,314412444.48606867
KTA,400000000,0.7925181446032379,317007257.8412952
USDO,226865623.67186862,1.006305487779509,228296122.08952227
SXT,1400000000,0.11845796626242336,165841152.7673927
HUMA,1733333333,0.05239518108151206,90818313.85715584
