time,MINA,SNX,CELO,GAS,GMT,POLYX,PEOPLE,REQ,YGG,ILV,BNT
2023-05-31,,-0.0002979816,,,,,,,,,
2023-06-01,,-0.0009205718000000001,,,,,,,,,
2023-06-02,,-0.0007709417,,,,,,,,,
2023-06-03,,-0.0004976012,,,,,,,,,
2023-06-04,,-0.0005696698,,,,,,,,,
2023-06-05,,-6.85043e-05,,,,,,,,,
2023-06-06,,-0.002631651,,,,,,,,,
2023-06-07,,-0.0018520786,,,,,,,,,
2023-06-08,,-0.0015768669,,,,,,,,,
2023-06-09,,-0.0011559793,,,,,,,,,
2023-06-10,,-0.0039491562,,,,,,,,,
2023-06-11,,-0.0043096053,,,,,,,,,
2023-06-12,,-0.0036737276,,,,,,,,,
2023-06-13,,-0.003242258,,,,,,,,,
2023-06-14,,-0.002795993,,,,,,,,,
2023-06-15,,-0.0024797081,,,,,,,,,
2023-06-16,,-0.0019390933,,,,,,,,,
2023-06-17,,-0.0026363488,,,,,,,,,
2023-06-18,,-0.0028726397,,,,,,,,,
2023-06-19,,-0.0035906246,,,,,,,,,
2023-06-20,,-0.0044783402,,,,,,,,,
2023-06-21,,-0.0033446385,,,,,,,,,
2023-06-22,,-0.0025769247,,,,,,,,,
2023-06-23,,-0.0020171102,,,,,,,,,
2023-06-24,,-0.0020128089,,,,,,,,,
2023-06-25,,-0.0026420179,,,,,,,,,
2023-06-26,,-0.0023277843,,,,,,,,,
2023-06-27,,-0.0024531498000000002,,,,,,,,,
2023-06-28,,-0.002359979,,,,,,,,,
2023-06-29,,-0.0020038487,,,,,,,,,
2023-06-30,,-0.0031571892,,,,,,,,,
2023-07-01,,0.000714447,,,,,,,,,
2023-07-02,,-6.84977e-05,,,,,,,,,
2023-07-03,,0.0012961518,,,,,,,,,
2023-07-04,,0.0018984895,,,,,,,,,
2023-07-05,,0.0006289909,,,,,,,,,
2023-07-06,,0.00045578460000000003,,,,,,,,,
2023-07-07,,-0.0015151971,,,,,,,,,
2023-07-08,,-0.0021759090999999998,,,,,,,,,
2023-07-09,,-0.0016121881,,,,,,,,,
2023-07-10,,-0.0012184075,,,,,,,,,
2023-07-11,,-0.0015010647000000001,,,,,,,,,
2023-07-12,,-0.0013334282,,,,,,,,,
2023-07-13,,-6.197419999999997e-05,,,,,,,,,
