symbol,circulating_supply,price_usd,market_cap_usd
DGB,17691834736.32254,0.010628750906810107,188042104.49682274
DASH,12257851.44168613,23.68061264291574,290273431.8249755
XVG,16521951235.741348,0.0068219251615304274,112711514.85268264
XEM,8999999999.0,0.018782791017462174,169045119.13837677
SC,56025636522.075195,0.003483617057112137,195171863.02386585
DCR,16794526.32260296,14.169918925447638,237977076.38258022
LSK,187372266.19248778,0.5365915398699217,100542372.84514388
STEEM,512851070.242,0.15091863189590723,77398781.88727446
WAVES,117756196.0,1.4429162708352175,169912331.20006096
ARDR,998466231.2566,0.10126524774514391,101109930.27335975
GLM,1000000000.0,0.2768412512950461,276841251.2950461
XNO,133248297.0,0.9728568175832848,129631514.16781235
ARK,188655836.0,0.4289322711982895,80920576.21029203
RLC,72382548.06525736,1.2603665258503947,91228540.63720761
QTUM,105643648.5,2.380743218866571,251510399.7826986
BAT,1495668356.9526057,0.1523101698149787,227805501.43434155
ZEN,16024509.375,9.683428990008286,155172198.63253456
BNT,115188101.74069732,0.712984899993146,82127377.1999914
NMR,8060975.99136503,9.098210538763345,73340456.71735562
FUN,10843201660.398026,0.005838143519392208,63304167.50311556
SNT,4000460675.3126316,0.02508318810106167,100344307.60976693
ERG,80763522.0,0.8042383341677873,64953120.39480344
STORJ,413973378.63491154,0.3112034713280975,128829952.46860534
GAS,64992331.0,3.3407797453226378,217125063.0061046
MTL,84646958.0,0.8537390573754042,72266414.13261543
CVC,1000000000.0,0.14156792261695567,141567922.61695567
DENT,99999999999.99994,0.0008672917192695896,86729171.9269589
ZRX,848396562.8973439,0.27790068140139723,235769982.92777523
LRC,1366825863.509865,0.11121810772607334,152015786.13062337
PRO,100000000.0,0.7728441394099463,77284413.94099464
REQ,844292691.4191633,0.15464369877895895,130564544.65310164
ICX,1064522280.1240011,0.10426373534782099,110991069.28670782
ENJ,1838459750.339878,0.08891551548267854,163467596.39562675
POWR,567677202.852475,0.18611137053638122,105651182.24513343
VEE,3646271241.0,0.02012721654899388,73389290.86397566
ELF,739878186.4082351,0.24394639062586176,180490613.07709748
WAXP,4382512311.229605,0.025044616347168126,109758339.47148652
MED,10080089735.0,0.007376116244341216,74351913.63875064
SWFTC,10000000000.0,0.014277246182701167,142772461.82701167
IOST,24269784065.0,0.003974773300636958,96466889.7137863
TRAC,499546955.602,0.4508691265166727,225230299.52633682
ZIL,19502271843.470547,0.01350235210029744,263326541.18625614
BORG,983102443.442,0.224647340522623,220851349.3805377
ABT,98554305.44029327,1.0302959114695578,101540097.95285615
ONT,913697857.0,0.15621454812242463,142732897.85168275
RVN,15147046281.094606,0.012777870652796446,193546998.1517483
SNX,339466216.9903987,0.8488472235237595,288154955.772414
HOT,174989068284.78094,0.0011853910769910297,207430480.11575332
XYO,13476747692.0,0.012919231999072963,174109230.0259191
IOTX,9441368979.0,0.01899967372085558,179382930.0792074
DAG,2873448318.0,0.0485221351014688,139425847.49308428
IQ,21618292951.929,0.0043647832507998545,94359162.98746425
BMX,326366295.4599114,0.27735936166512876,90520747.37777384
RPL,21384675.27468185,5.461982415322589,116802720.30769601
MVL,26602958863.10265,0.003476843939601539,92494336.2986475
EURS,124125940.0,1.1172014498277119,138673680.12922758
VTHO,89515140803.0,0.00258941375094853,231791736.51338205
FLUX,384496559.4991484,0.30379222325683297,116807064.64484946
ONG,413854982.4414432,0.21661942016933172,89649026.33065438
USDP,71373897.55477142,0.9996264195955249,71347233.66525395
AERGO,477499995.7689212,0.1451560936972349,69312034.12626278
LPT,40584507.15150371,5.746122158201518,233203535.82294345
RIF,1000000000.0,0.058777022177508374,58777022.17750838
ANKR,10000000000.0,0.01956762006021259,195676200.60212588
BORA,1099750000.0,0.09586946532139057,105432444.48719928
CELR,7783424106.9912,0.010834366021803578,84328465.67807232
TFUEL,6939340491.0,0.03856688455163953,267628743.58091456
ORBS,3989676436.0,0.020851705082850495,83191556.41947004
ONE,14576103908.762903,0.014826946527434244,216119113.23355284
CHR,842381914.378197,0.11694502645041356,98512375.25830826
COTI,2103970062.9291937,0.07697998987911586,161963594.1502521
STPT,1942420283.027067,0.06917901927796213,134374730.2054341
MX,94310834.0,2.719532805292372,256481406.9574832
PROM,18250000.0,5.383125770198529,98242045.30612315
WIN,993701859243.3864,6.046413247418804e-05,60083320.85713907
SXP,643165605.2996997,0.20960413933170552,134810173.14659896
