factor,n_weeks,gross_sharpe,net_sharpe,mean_weekly,turnover,universe
size,521,-0.48416398618212664,-0.7584206874928477,-0.010558025469891005,0.7621373857728694,pit
mom_1w,521,0.9399767274569262,0.06778232366289477,0.0013236258747096074,3.4059832604408427,pit
mom_2w,520,1.4222703297477928,0.6628056314258,0.011715764453829746,2.6852784173882784,pit
mom_4w,519,0.47639594165034116,-0.09382009455952897,-0.0017187070099426958,2.0909973601312304,pit
mom_8w,517,0.39886964853115725,-0.043186619433702444,-0.000793190807878017,1.620277473530605,pit
mom_12w,515,0.25526555288214664,-0.1139129482433905,-0.0021062734836908483,1.3642261931156496,pit
mom_26w,508,-0.20728446352547736,-0.504836764810105,-0.008410254251812337,0.9917917561628092,pit
mom_52w,495,0.17070296614717975,-0.09319426222177493,-0.0013549630835488066,0.7677406707315013,pit
reversal_1w,521,-0.9606929616618671,-1.821422653025942,-0.036106528028091174,3.413372521286655,pit
lt_reversal,495,-0.0876836416294775,-0.35792571721936184,-0.005014131605541487,0.7572629151054796,pit
high_52w,513,0.5147525130421129,0.32001391322114137,0.0054176470874589145,0.659599864903802,pit
dollar_volume,521,0.09988853638463999,-0.06991410003544454,-0.0011323572699248772,0.5500982763968153,pit
turnover,521,0.0022731718751788864,-0.19136728690367197,-0.0036187799371832923,0.7323462583145616,pit
amihud,520,0.2204975972224475,0.06525661213736358,0.001215331770369649,0.5786456737858519,pit
volatility,520,0.6128910851931587,0.4212607207331745,0.009781000092523126,0.8905755316836271,pit
ivol,520,0.5751129638004199,0.4065152695223655,0.009541841458786131,0.7926060982557892,pit
max_return,520,0.44247551514403577,0.18421563716256215,0.0042523872914819365,1.1916063301975597,pit
skew,518,0.12304975467666938,-0.125010133582011,-0.0025999581988463416,1.031608600492244,pit
beta,518,0.43675551534986823,0.21902787970367676,0.004524910427763405,0.8961292961210245,pit
downside_beta,515,0.368994132712679,0.09362467587661137,0.0018944027782680415,1.1133409944255455,pit
acceleration,515,0.5014428784308781,-0.024396336126953258,-0.00048325695478624057,2.082820347972826,pit
trend,508,0.07128973465365243,-0.13193231754745366,-0.0026709863926453956,0.8225140417624833,pit
turning_points,518,-1.0953672046701028,-1.5779869228948828,-0.022043057937751846,1.344687526179604,pit
size,521,0.3319580654634791,0.17269297622725174,0.003302857842171325,0.6089011456091501,survivor-only
mom_1w,521,0.7966880469964902,-0.0043274874192235436,-9.230929949200238e-05,3.41719363239819,survivor-only
mom_2w,520,1.3000436474903136,0.5950499889478272,0.011205331191110434,2.662485429125998,survivor-only
mom_4w,519,0.5636890963290992,-0.04821837842477456,-0.0008257651498904344,2.0996164017524497,survivor-only
mom_8w,517,0.21001740028448304,-0.17751270747224843,-0.003667802948890827,1.6006127487303967,survivor-only
mom_12w,515,0.21868150693323454,-0.10008905869596055,-0.0021338752442596706,1.3585315487495941,survivor-only
mom_26w,508,-0.24215089917531568,-0.5297301118821041,-0.009119413694649081,0.9894978778530271,survivor-only
mom_52w,495,0.012846481085612902,-0.2248938256870218,-0.0037910906482457583,0.8014444875085458,survivor-only
reversal_1w,521,-0.7184275259791671,-1.5117229853962262,-0.03264844996824331,3.4265311891467602,survivor-only
lt_reversal,495,-0.0036017021312160966,-0.24172804257039593,-0.004108836238574447,0.8094938394140752,survivor-only
high_52w,513,0.1455760027085046,-0.02023011919969503,-0.00040270943092518465,0.6598610317646436,survivor-only
dollar_volume,521,0.3476867548409126,0.20365373924202895,0.0032516388038897454,0.4605655764329644,survivor-only
turnover,521,0.22383152008477403,0.06245856081495589,0.0013689970947099199,0.7075886653764583,survivor-only
amihud,520,0.26532046867148346,0.13323317584938743,0.0024996824461651326,0.4972117156852864,survivor-only
volatility,520,0.41848454482209546,0.23365934344951111,0.005828069178129509,0.9239327527223518,survivor-only
ivol,520,0.37047581470601176,0.21664690593874328,0.00540060900718806,0.7671873529269122,survivor-only
max_return,520,0.38938374544983245,0.13259061188508733,0.0032387326583528295,1.2551131090414576,survivor-only
skew,518,0.09035921716602378,-0.1427541949475584,-0.0031717059166190813,1.0356267357406408,survivor-only
beta,518,0.6695450820456429,0.4621229563765001,0.009353158209727902,0.8404487676266085,survivor-only
downside_beta,515,0.6342572112955023,0.3784158433429407,0.007643014745978371,1.0334474380211636,survivor-only
acceleration,515,0.43312698647803477,-0.08493292528555905,-0.0017024051220866558,2.0776680155753384,survivor-only
trend,508,-0.12804371786377583,-0.2840266578776435,-0.007174863726892927,0.7883729732638077,survivor-only
turning_points,518,-0.8062350159323167,-1.1240332302307627,-0.023844763099514686,1.3490766179619822,survivor-only
size,521,0.4732921124669401,0.397761536871965,0.010399774713152924,0.39707941107530426,snapshot
mom_1w,521,0.2649319180259091,-0.1840793922419148,-0.0070351840202340366,3.433488757439128,snapshot
mom_2w,520,0.9316921465363872,0.5048487646645474,0.015817545739908765,2.666985702954101,snapshot
mom_4w,519,-0.05314901584712296,-0.4344696109093951,-0.011908200308307684,2.0904851750184563,snapshot
mom_8w,517,0.19440511164938162,-0.10974152320113834,-0.0028898188400095096,1.6006470475019172,snapshot
mom_12w,515,0.3007368949263473,0.09998482320390542,0.0037172717906480846,1.4936898518245314,snapshot
mom_26w,508,-0.1190912354726008,-0.27518343631564446,-0.010026240666761794,1.1361452891282344,snapshot
mom_52w,495,-0.24493142702046497,-0.34641757465998363,-0.016669170706567232,0.9753563056209735,snapshot
reversal_1w,521,-0.4500847632873198,-0.8562966404582857,-0.036076407564359425,3.427270489395612,snapshot
lt_reversal,495,-0.014852780933155663,-0.12110969429888858,-0.00528746466458969,0.9278994011951385,snapshot
high_52w,513,-0.24236582634863663,-0.3717740895112326,-0.011069903444367486,0.7739476409966661,snapshot
dollar_volume,521,0.22764523685812524,0.17680558558333873,0.005347398670651146,0.30694074073515604,snapshot
turnover,521,0.43824040753536425,0.3461368506681616,0.012715490250699766,0.6724282103044485,snapshot
amihud,520,0.3774612146385537,0.32714701058068735,0.0099514566301379,0.30463308525718746,snapshot
volatility,520,-0.1520724569241259,-0.3559488617866217,-0.01036614931318569,1.1881980654288544,snapshot
ivol,520,-0.13167976765401856,-0.26580745620730173,-0.007729718138763558,0.7802658616854916,snapshot
max_return,520,-0.4382325528987999,-0.6797934556307564,-0.022721118691384556,1.6180765420739462,snapshot
skew,518,-0.2418943460489042,-0.3984487305378011,-0.014492944438288715,1.1395050536710887,snapshot
beta,518,-0.15107673826008475,-0.268842346231031,-0.009203742561147078,0.8055998153413509,snapshot
downside_beta,515,-0.20589195345479303,-0.3706818239898172,-0.012590961337283036,1.1198083427262717,snapshot
acceleration,515,-0.2043437528280956,-0.5015936060915804,-0.018486581349128693,2.19241363598738,snapshot
trend,508,-0.2521410602844355,-0.39575801604383337,-0.011277273294588604,0.8195066625459642,snapshot
turning_points,518,-0.6108918501248856,-0.77162772474868,-0.0345527401863532,1.4422421711274904,snapshot
