avg_members,var_removed,density,neg_edge_share,stability_ari,gross_sharpe,net_sharpe,breakeven_bps,turnover,n_rebalances,psr,bracket,treatment,arm,reference,dsr
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,0.807631432069221,0.3952283476558993,98.14453125,0.03965646172088443,107,0.875589545580922,B1,pit,baseline,eth,0.12284615070125143
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,-0.1474856670253644,-0.49027457756917253,0.48828125,0.01687424967531998,107,0.07334846357388082,B1,pit,ou,eth,7.265344528049065e-05
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,-0.3060314162397096,-0.8013631789181715,0.48828125,0.041673903247449094,107,0.014666252159224616,B1,pit,ou_nofilter,eth,7.272845804082835e-06
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,-0.6096644497878737,-1.0400631650359478,0.48828125,0.05250764884413587,107,0.0012773873304280053,B1,pit,beta,eth,5.26979839312057e-08
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,0.16150950886148752,-0.03242392973177904,41.50390625,0.0044009195488158865,107,0.4607161907856555,B1,pit,ewma,eth,0.006018050204362942
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,-0.01566633668655379,-0.19760101638989566,0.48828125,0.004395806080958902,107,0.2643761774164549,B1,pit,ewma_sized,eth,0.0007940260838267851
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,0.4225451624453754,-0.07358929713892211,42.48046875,0.02955419545737339,107,0.4154135621104157,B1,pit,momentum,eth,0.005933484124553728
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,0.9466219793340309,0.5211828733749793,110.83984375,0.039662572517274355,107,0.9369478949520599,B1,pit,death,eth,0.21243273686383435
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.09752445493048283,-0.4106602764453483,9.27734375,0.035558316310525334,104,0.1104116756685416,B1,survivor-only,baseline,eth,0.0009696041057547188
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.14271716765401496,-0.20215822052388918,20.99609375,0.014604897307477015,104,0.2746199152977603,B1,survivor-only,ou,eth,0.00690671174187846
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,-0.8193426647723118,-1.3714789923667758,0.48828125,0.03778943598010851,104,2.43494207375111e-05,B1,survivor-only,ou_nofilter,eth,1.567326433768459e-09
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,-0.36191850845993107,-0.8758185644753183,0.48828125,0.047782164090572204,104,0.004742869032126065,B1,survivor-only,beta,eth,4.160032309309741e-06
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.019676675079001397,-0.11456414346234388,7.32421875,0.0048000058357374606,104,0.36763945237505513,B1,survivor-only,ewma,eth,0.014109732539935908
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,-0.07878251427118284,-0.20159340392853325,0.48828125,0.004779446442900922,104,0.2795455506927473,B1,survivor-only,ewma_sized,eth,0.008048513504834235
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.23297594830367752,-0.25538388525283073,23.92578125,0.025032735110762924,104,0.22483689046566085,B1,survivor-only,momentum,eth,0.004427478517261985
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.10344887611454848,-0.4042144574048916,10.25390625,0.03557425515310286,104,0.114102412078464,B1,survivor-only,death,eth,0.0010355481914880143
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,-0.026504571310577433,-0.237888291790952,0.48828125,0.05037529569017121,114,0.23933227095806647,B2,pit,baseline,vw_market,0.004099969550196087
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,0.40866635740675805,0.14856745833176493,78.61328125,0.036703815487735644,114,0.6704456482697314,B2,pit,ou,vw_market,0.06831880192733948
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,-0.16733729928660732,-0.36102130831109047,0.48828125,0.04168709021805009,114,0.15106033918499162,B2,pit,ou_nofilter,vw_market,0.0019304608754630026
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,-0.7271940894066304,-0.9562510533583957,0.48828125,0.05351070528967254,114,0.0027698722227252216,B2,pit,beta,vw_market,1.5897760369318338e-06
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,0.6217338991125644,0.4357930396001405,166.50390625,0.01715800696227165,114,0.9049548443788912,B2,pit,ewma,vw_market,0.2599260904874457
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,0.5297624903166634,0.3599364229230815,155.76171875,0.017203316740669834,114,0.8582426839567943,B2,pit,ewma_sized,vw_market,0.193854026762318
