avg_members,var_removed,density,neg_edge_share,stability_ari,gross_sharpe,net_sharpe,breakeven_bps,turnover,n_rebalances,bracket,arm,reference,n_pca,treatment
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.5454586520112401,0.09752445493048283,-0.4106602764453483,9.27734375,0.035558316310525334,104,B1,eth,eth,0,survivor-only
19.624965781549413,0.0,0.6919840679983795,0.02414483411167679,0.5204752886804184,0.3833197019674857,-0.21079792791657553,32.71484375,0.0370878112414726,104,B1,btc,btc,0,survivor-only
19.624965781549413,0.0,0.677020553599474,0.042913118694546185,0.508440577326591,0.49257996708833124,-0.06968224589824783,43.45703125,0.03729712631618404,104,B1,vw,vw_market,0,survivor-only
19.624965781549413,0.28129656068343734,0.6036975266868511,0.788013445162333,0.417512957195296,-0.0901856330559985,-0.5296071202423885,0.48828125,0.03551378550844114,104,B1,eth+pca1,eth,1,survivor-only
19.624965781549413,0.37256881071357806,0.5876599940612247,0.7730931574522338,0.26420490271664954,0.10613463995321624,-0.3732933489898096,11.23046875,0.035529570664001385,104,B1,eth+pca2,eth,2,survivor-only
19.624965781549413,0.4400600572511879,0.5820283749351458,0.7450671754056816,0.2121844192791624,-0.1149350752388671,-0.6290029767493044,0.48828125,0.03627511357220547,104,B1,eth+pca3,eth,3,survivor-only
80.58883109772789,0.0,0.26032061380846216,0.00499228925267298,0.4969277898057042,0.3277482098526111,-0.025610652347686134,46.38671875,0.04735631998227123,108,B2,eth,eth,0,survivor-only
80.58883109772789,0.0,0.2637683440670831,0.011345412054577838,0.45947776195402606,0.6707954187734274,0.348488179072148,104.00390625,0.04700288378793492,108,B2,btc,btc,0,survivor-only
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.262148226674806,-0.0863069490017381,37.59765625,0.04690810097478062,108,B2,vw,vw_market,0,survivor-only
80.58883109772789,0.22862937042327403,0.2199645503950054,0.5955314704403659,0.3735429119644097,-0.0022984076347656902,-0.31451276540191503,0.48828125,0.04709965490844044,108,B2,eth+pca1,eth,1,survivor-only
80.58883109772789,0.28175971612807976,0.2104497901041634,0.6159951641338138,0.2651675774793236,0.01879353432985368,-0.29993930234363086,3.41796875,0.04683917110335178,108,B2,eth+pca2,eth,2,survivor-only
80.58883109772789,0.315229889968597,0.20787773848917665,0.6271544801464733,0.2004270376837971,0.13087369760864406,-0.16961729436350864,21.97265625,0.047210655832338154,108,B2,eth+pca3,eth,3,survivor-only
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,-0.006876411597890283,-0.19631156350167836,0.48828125,0.05252592140814007,115,B3,eth,eth,0,survivor-only
189.38954284150014,0.0,0.16637426592203805,0.030420438761723553,0.5711926679376496,0.4374762351286353,0.2545950519037597,119.62890625,0.052686623307954365,115,B3,btc,btc,0,survivor-only
189.38954284150014,0.0,0.15955434499489654,0.04980743257682736,0.5956259443880708,0.19966028596569613,0.02009014877749929,55.17578125,0.052504903097756156,115,B3,vw,vw_market,0,survivor-only
189.38954284150014,0.18540295397690318,0.14002856199174418,0.4932701994697943,0.46461373611949747,0.6704883102097444,0.505161657618741,202.63671875,0.05256188200160718,115,B3,eth+pca1,eth,1,survivor-only
189.38954284150014,0.22910846769009166,0.1347786752426649,0.5221758918560737,0.24361084538852223,0.4519288035433443,0.27580890050765955,128.41796875,0.05257896535017542,115,B3,eth+pca2,eth,2,survivor-only
189.38954284150014,0.25653532046306643,0.13281020123425516,0.5340471347485595,0.1341234281705824,0.7258175408705037,0.5486951313548282,204.58984375,0.052858205768979497,115,B3,eth+pca3,eth,3,survivor-only
