avg_members,var_removed,density,neg_edge_share,stability_ari,gross_sharpe,net_sharpe,breakeven_bps,turnover,n_rebalances,bracket,arm,reference,n_pca,treatment
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5454953436815398,0.807631432069221,0.3952283476558993,98.14453125,0.03965646172088443,107,B1,eth,eth,0,pit
21.040240897892144,0.0,0.6815682191251491,0.027630212313081083,0.527194991049547,-0.3375513462551921,-0.8586723613744893,0.48828125,0.040999100023222754,107,B1,btc,btc,0,pit
21.040240897892144,0.0,0.6679294295119536,0.04959522029973115,0.5109740902610023,-0.2271276437411925,-0.7385357276423001,0.48828125,0.04040060751704132,107,B1,vw,vw_market,0,pit
21.040240897892144,0.28310424680780877,0.5961338804125592,0.7858232230211921,0.40472617524293825,-0.06839507453947853,-0.4947500271635151,0.48828125,0.03631794072889856,107,B1,eth+pca1,eth,1,pit
21.040240897892144,0.3732433337376505,0.5790768854695592,0.7727804096949538,0.2801894983150686,0.21141154753078154,-0.26681342919559886,21.97265625,0.039381278873534854,107,B1,eth+pca2,eth,2,pit
21.040240897892144,0.4394279205295072,0.573571352852912,0.7472396306161809,0.21734556830265792,-0.34047018309757704,-0.8403247150045685,0.48828125,0.038682703189364884,107,B1,eth+pca3,eth,3,pit
98.53983027648508,0.0,0.2421586475558196,0.0075695637165256,0.5217133472370047,-0.513684632115636,-0.7467986993457807,0.48828125,0.05057662532899137,114,B2,eth,eth,0,pit
98.53983027648508,0.0,0.2445045587143821,0.025853817265203482,0.459768763046899,-0.55299969886478,-0.779549943742698,0.48828125,0.050097180189173834,114,B2,btc,btc,0,pit
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,-0.026504571310577433,-0.237888291790952,0.48828125,0.05037529569017121,114,B2,vw,vw_market,0,pit
98.53983027648508,0.23114370652597196,0.2079651651893463,0.575925267755095,0.4100886386115767,-0.4136703000997045,-0.5934581612162246,0.48828125,0.05137990896583915,114,B2,eth+pca1,eth,1,pit
98.53983027648508,0.28343047201359944,0.19848642661618354,0.6037767418007414,0.2687822561771021,-0.8650487015037838,-1.0584879593268324,0.48828125,0.051031072308288634,114,B2,eth+pca2,eth,2,pit
98.53983027648508,0.3152680619413423,0.1967342767629329,0.6118161481041906,0.1751378556643026,-0.1907630910471717,-0.4018078387066886,0.48828125,0.05116563091252909,114,B2,eth+pca3,eth,3,pit
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.27790152863545636,-0.42339372779834245,0.48828125,0.05258758663736921,110,B3,eth,eth,0,pit
261.4473035860936,0.0,0.09308275548486741,0.02368821981513997,0.5979829712388111,-0.8694674365491288,-0.999225751694961,0.48828125,0.05245017654070523,110,B3,btc,btc,0,pit
261.4473035860936,0.0,0.09050478679547416,0.039844521128185414,0.5848267291187029,-0.34199563501071645,-0.4767527546549341,0.48828125,0.052357822275960364,110,B3,vw,vw_market,0,pit
261.4473035860936,0.17162155189284728,0.0786367633280776,0.42538678261959567,0.5030116494494586,-0.5741329601629928,-0.7033385941754868,0.48828125,0.05243546077020623,110,B3,eth+pca1,eth,1,pit
261.4473035860936,0.21355175348033945,0.07265711857066885,0.45933350601932693,0.2807657296758383,-0.43506551529442417,-0.5629864620349931,0.48828125,0.0525456484115643,110,B3,eth+pca2,eth,2,pit
261.4473035860936,0.23657170142621795,0.07076932444069306,0.47752986715857426,0.14109607981553707,-0.4610057556732354,-0.5904151010639365,0.48828125,0.05254963672597896,110,B3,eth+pca3,eth,3,pit
