bracket,treatment,arm,role,halflife,is_default,net_sharpe,sharpe_ex_best,best_days_share,turnover,n_days,sharpe_2016,sharpe_2017,sharpe_2018,sharpe_2019,sharpe_2020,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,sharpe_2025
B3,pit,baseline,arm,,,-0.4233937342146194,-0.6572614815014259,-0.5171095610400394,0.05258758663736921,3120,-0.7658020229177791,0.4836823212185785,-0.24574268986813114,0.8508140263584516,0.6956274220418205,-1.0988962598620955,-0.7180263720702882,-0.8929457262485306,-2.177266408712445,-1.2716008956271423
B3,pit,ou,arm,,,-0.30823158371632864,-0.6218983626507771,-0.9157955538450775,0.039101547850411825,3120,3.259469421211376,-0.8732249976531357,0.14994636708448428,0.9558037155841702,-0.34232591882189534,-0.8369901547472088,0.36761325992551924,-1.4596871856335352,-1.1973133256928883,0.6627298082765395
B3,pit,ou_nofilter,arm,,,-0.8002845220222982,-1.0536361579232851,-0.28315442331119284,0.03729572904066788,3120,1.125760465569166,-1.0497424364081065,1.1121070338717307,-0.8759159192124721,-2.3833314205056304,-1.765510778466557,-0.6531394714894686,-0.5278513337889318,-0.1426469386125827,0.8384390864736532
B3,pit,beta,arm,,,-1.1384982769336252,-1.4068558979611179,-0.20352791579975732,0.05259615384615384,3120,0.11697014391344457,-0.22755951055044465,0.1226521631907819,-0.8804063610234764,-2.674305288128206,-1.073200261892891,-1.011919346545228,-1.941664618010069,-1.691004198466344,0.2926396553703848
B3,pit,ewma,arm,10.0,True,1.4524130376069802,1.2218422123725374,0.18598042429969455,0.04075062809781967,3120,3.61653511569395,1.423658340032316,1.7919676888057376,2.046040521066405,1.6506287423263544,0.6191517198041826,1.7358157775155758,0.444703538601689,1.8352328360783414,2.019402874564163
B3,pit,ewma_sized,arm,10.0,,1.5071370229638767,1.2845912036251719,0.17402470476750276,0.04094945353598718,3120,3.4672582370793616,1.5212415957065135,1.488347473709367,1.8540491652174014,1.8460885204434185,1.137070032479078,1.906302646233214,1.0716474823923436,1.4165708787270825,1.3150965788643434
B3,pit,momentum,arm,,,-0.23292375068252444,-0.49335106634164316,-1.055798008686662,0.051524330544412904,3120,-0.7658020229177791,0.20099057850399354,-0.1988368565929994,-0.4892567910068152,1.2106870004112138,-0.00853752124113041,-1.11545413615763,-0.5129295654295424,-0.7720383631679099,-1.1744405803529938
B3,pit,death,arm,,,-0.2857912683557825,-0.5169161933796415,-0.7676908181510498,0.05258777406477501,3120,-0.7658020229177791,0.4513359585378287,-0.09445825068869955,0.9533147125552662,0.7400168929555477,-0.8771322096901425,-0.5309533754587269,-0.6815191988321243,-2.1426328475199568,-0.8651096110620464
B3,survivor-only,baseline,arm,,,-0.19631156738110736,-0.4179540518434391,-1.0819088820605267,0.05252592140814007,3204,0.9318383906497425,0.2107960252865144,-1.1568319066978197,-0.21253252427624,0.16294737266514425,0.4062787565896347,0.3485132646013434,-0.3708526370592186,-1.7078369295539964,-0.5854313597026337
B3,survivor-only,ou,arm,,,0.9514421098498417,0.695155079000815,0.3010287094236025,0.03864498593541917,3204,1.1600726566722737,1.9875975497350042,-0.24180170090832656,1.8985017506368929,0.6376806102315333,1.7884437506156095,0.6839562864712859,1.514855918486861,-0.983022499635377,-0.733081628353331
B3,survivor-only,ou_nofilter,arm,,,0.8127762202750858,0.5439335643220964,0.36294942598213115,0.038867955624388745,3204,1.6526361369011824,0.6575783998124609,0.7317748584134254,1.2325757891514413,0.5716299904702429,0.3924219074613153,0.45530173783338096,1.1707527071115074,0.8218480155329424,1.6600855577194424
B3,survivor-only,beta,arm,,,0.5188282055561264,0.24225779416547505,0.5512659080495531,0.053471439684672765,3204,2.229155491813243,0.02286131857621177,0.46678575199255967,1.1054011523494902,0.5746022855712654,0.11724236212638854,1.7524171864370233,-0.7993308824283019,0.5165373354902063,0.6117102133034747
B3,survivor-only,ewma,arm,10.0,True,1.3959610290601596,1.1440937207719382,0.21668722333295817,0.0326298500860166,3204,1.5099358196151722,0.9045283747625074,0.666754113450481,1.0418812610158659,2.091557226223151,2.0470587812592607,1.745254276765987,1.1619288441481836,1.752870069934579,2.821855970730201
B3,survivor-only,ewma_sized,arm,10.0,,1.4439359356272008,1.2010994153772072,0.20068937066684,0.032862438533197445,3204,1.9519287042896136,1.071415227403611,0.7113863803192401,1.1132316489872083,2.2444018777198824,2.0255809121557355,1.6332923282671512,0.9554394243740624,2.0565865242413173,2.6898722251454417
B3,survivor-only,momentum,arm,,,0.12315045036722522,-0.11408990497811106,1.901897775654401,0.051247529450277524,3204,0.5162591775146574,0.7384122536387883,-1.5826704251881878,0.14037419643416463,1.0264129495357293,0.1722975914162018,0.24104158132321948,0.08129532995889864,-1.280635744498724,1.4698483549146144
B3,survivor-only,death,arm,,,-0.10784764789180186,-0.3280655569588253,-1.974415282104478,0.05252547261685036,3204,0.9318383906497425,0.27052825669982405,-1.0001274861177931,-0.2107332781158697,0.2738431109264528,0.5140692164671947,0.3805816291341028,-0.30525840228152673,-1.5724358036083999,-0.38734174521799664
B3,pit,ewma,halflife_sweep,5.0,False,1.650077558463101,1.3473189480362402,0.2522516913482267,0.012719840040632735,3232,2.738758443013861,1.8895284169037008,1.2188186377368342,2.047323377590868,2.297781656558687,1.30601767032033,1.639119307244792,1.5353688582827538,1.3201169391365715,1.8896608199740108
B3,pit,ewma,halflife_sweep,20.0,False,1.0912303390337945,0.8411473968724471,0.26043911923827606,0.048380941770932925,3120,0.10614750401628703,0.7743857904797636,2.374042840372758,1.9119627400827934,1.3693630754372559,0.22158963069282678,0.9952193956744461,0.7314489630400883,1.274196791818124,1.3220176777709902
