avg_members,var_removed,density,neg_edge_share,stability_ari,gross_sharpe,net_sharpe,breakeven_bps,turnover,n_rebalances,bracket,treatment,method,k_selected,k_min,k_max,eigengap,calinski_harabasz,davies_bouldin,degenerate_windows,n_windows
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.6400532604034769,0.4572242460553166,-0.10073045276398032,40.52734375,0.03317819047712134,107,B1,pit,SPONGE,2.0,2,2,0.5213689444686674,26.142846585556413,0.7919301604948649,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5801400915014427,0.8539232603107398,0.35468340572442003,85.44921875,0.029969000467270315,107,B1,pit,SPONGEsym,2.0,2,2,0.26177027296353794,21.468445421664477,0.7734288944229011,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.6069105333824636,0.7839643704811808,0.23395022185436787,71.77734375,0.0326372930468222,107,B1,pit,BNC,2.0,2,2,0.496901174037131,24.67610715998019,0.7827865164240277,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.641749577799015,0.4448493712898853,-0.10866046273842586,40.52734375,0.033079924687030735,107,B1,pit,SignedSpectral,2.0,2,2,0.5146829795479767,24.44005963730293,0.7922693530623132,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.9509803921568627,-0.19550028839837352,-0.3382128037378055,0.48828125,0.0031649629165876924,107,B1,pit,RegSignedSpectral,1.0654205607476634,1,2,0.16926340030106124,,0.0,7,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.9509803921568627,-0.19550028839837352,-0.3382128037378055,0.48828125,0.0031649629165876924,107,B1,pit,RegSPONGE,1.0654205607476634,1,2,0.08447635810206809,,0.0,7,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5422439595805616,0.7628641144559356,0.32705848934012527,87.40234375,0.02789177526939309,107,B1,pit,PowerMean p=1,2.0,2,2,0.28488833208440356,23.34878572317303,0.7267855591257426,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5317519212306456,0.5454289451471742,0.1502841527663338,68.84765625,0.029430606296203317,107,B1,pit,PowerMean p=0,2.0,2,2,0.7313843429018076,25.91147235522831,0.5398086618516933,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.4918580752434768,-0.2852600705989866,-0.657091144989792,0.48828125,0.034901971911673005,107,B1,pit,PowerMean p=-10,2.0,2,2,1.002455823688359,25.60250954022301,0.22894801003252035,41,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.4192251483505902,-0.01592098804543244,-0.4578176446365274,0.48828125,0.03781444956972346,107,B1,pit,Hierarchical,2.0,2,2,0.09442801507163477,2.1334966741313375,1.3426611911312702,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.5362012570269493,-0.2980872116577129,-0.8156859464649322,0.48828125,0.03031236539008001,107,B1,pit,PCA-kmeans,2.0,2,2,0.09442801507163477,18.328959377545264,0.8876629311205679,0,107
21.040240897892144,0.0,0.6542225786886777,0.010564155996692784,0.3769004585384731,0.07047872215685698,-0.3728402654876921,8.30078125,0.029316244858824805,107,B1,pit,Pivot,2.2990654205607477,1,6,0.09442801507163477,1.7388016784442253,1.6535281823118921,0,107
19.624965781549413,0.0,0.6650503478308327,0.008920452099448292,0.6235186739994009,0.4993882747599273,-0.138612479061451,39.55078125,0.030734326047770766,104,B1,survivor-only,SPONGE,2.0,2,2,0.5196961716089236,26.1096129986775,0.8005892014526064,0,104
