weight_band,trade_frequency_days,gross_sharpe,net_sharpe_25,net_sharpe_50,avg_turnover,breakeven_bps,dsr_net_50
0.02,3,2.9627843929612117,2.6327980280367065,2.301907359504282,0.053159340659340665,225.09765625,0.9553380131772476
0.0,3,2.9874490270285574,2.436380282713655,1.8827456243462752,0.053159340659340665,135.25390625,0.9036046570469191
0.05,3,2.2011436374398516,1.9771416334328935,1.7531856152326142,0.05220733720901852,247.55859375,0.8668381144252919
0.0,5,2.4833969150718174,2.09908210587405,1.711161444787276,0.031730769230769236,160.64453125,0.8605964563156399
0.0,2,2.9702886478701274,2.334198779147883,1.6935245792353097,0.07458791208791206,115.72265625,0.8572997977395851
0.02,1,2.9995779756730125,2.3024837771143845,1.6054122151748473,0.14958791208791206,107.91015625,0.8321255264962166
0.05,5,1.7374839261275845,1.583086980986343,1.4281981371218435,0.030650672438755855,279.78515625,0.7828355060946686
0.05,1,2.267971440222257,1.8388655872095703,1.4097452813598106,0.14813205243819924,132.32421875,0.7786509394079755
0.02,2,2.1395943607313916,1.7500558557461725,1.3589367117194227,0.07436133161974896,136.23046875,0.7596292880526044
0.02,5,1.8073961177682507,1.5723621343958647,1.3360193961218003,0.03147932707088189,190.91796875,0.7561403894946923
0.0,1,3.057246761120244,2.0274864779745125,0.997832216265934,0.14958791208791206,74.70703125,0.638742457919923
0.05,2,1.4052793173603562,1.1303734443808984,0.8549064704525607,0.07300705682416997,127.44140625,0.581879838414976
