tier,ann_return,ann_vol,sharpe,n,avg_members,gross_sharpe,avg_turnover,breakeven_cost_bps,breakeven_bias,dsr_net_50
baseline (>=$50k/day),0.34119835763905604,0.14771764269383147,2.3098009920605382,364,134,2.9713380432071963,0.053159340659340665,226.07421875,0.34119835763905604,0.9146879868369435
liquid (>=$1M/day),0.04330135233216925,0.12985560441518168,0.33345770886964354,364,89,1.0717651272561826,0.052401032978323665,72.75390625,0.04330135233216925,0.26172978576706435
very liquid (>=$5M/day),0.052417059193299975,0.16373786310766864,0.3201279056563248,364,57,0.9105672147428095,0.05303112977852004,76.66015625,0.052417059193299975,0.25681806657611994
